id,inicio,fim,esporte,genero,fase,local1,local2,cidade
FE009,2016-08-10T08:30-03:00,2016-08-10T16:00-03:00,Esgrima,Masculino e Feminino,Sabre individual e Florete individual,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE010,2016-08-10T17:30-03:00,2016-08-10T21:35-03:00,Esgrima,Masculino e Feminino,Sabre individual e Florete individual,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE012,2016-08-11T17:00-03:00,2016-08-11T19:50-03:00,Esgrima,Espada por Equipes feminina,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE014,2016-08-12T17:00-03:00,2016-08-12T19:50-03:00,Esgrima,Florete por Equipes masculino,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE016,2016-08-13T17:00-03:00,2016-08-13T19:35-03:00,Esgrima,Sabre por Equipes feminino,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE018,2016-08-14T17:00-03:00,2016-08-14T19:50-03:00,Esgrima,Espada por Equipes masculina,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK001,2016-08-17T09:00-03:00,2016-08-17T13:00-03:00,Taekwondo,Masculino até 58kg e Feminino até 49kg,Preliminares,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK002,2016-08-17T15:00-03:00,2016-08-17T18:00-03:00,Taekwondo,Masculino até 58kg e Feminino até 49kg,Quartas e Semis,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK004,2016-08-18T09:00-03:00,2016-08-18T13:00-03:00,Taekwondo,Masculino até 68kg e Feminino até 57kg,Preliminares,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK005,2016-08-18T15:00-03:00,2016-08-18T18:00-03:00,Taekwondo,Masculino até 68kg e Feminino até 57kg,Quartas e Semis,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK007,2016-08-19T09:00-03:00,2016-08-19T13:00-03:00,Taekwondo,Masculino até 80kg e Feminino até 67kg,Preliminares,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK008,2016-08-19T15:00-03:00,2016-08-19T18:00-03:00,Taekwondo,Masculino até 80kg e Feminino até 67kg,Quartas e Semis,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK010,2016-08-20T09:00-03:00,2016-08-20T13:00-03:00,Taekwondo,Masculino +80kg e Feminino +67kg,Preliminares e Oitavas,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK011,2016-08-20T15:00-03:00,2016-08-20T18:00-03:00,Taekwondo,Masculino +80kg e Feminino +67kg,Quartas e Semifinais,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK012,2016-08-20T20:00-03:00,2016-08-20T23:05-03:00,Taekwondo,Masculino +80kg e Feminino +67kg,Repescagens e Finais,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FB002,2016-08-03T15:00-03:00,2016-08-03T20:00-03:00,Futebol,Feminino,primeira fase,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
FB008,2016-08-06T15:00-03:00,2016-08-06T20:00-03:00,Futebol,Feminino,primeira fase,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
FB022,2016-08-10T19:00-03:00,2016-08-10T00:00-03:00,Futebol,Masculino,primeira fase,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
FB025,2016-08-12T19:00-03:00,2016-08-12T21:00-03:00,Futebol,Feminino,quarta de final,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
FB030,2016-08-13T22:00-03:00,2016-08-13T00:00-03:00,Futebol,Masculino,quarta de final,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
FB033,2016-08-17T16:00-03:00,2016-08-17T18:00-03:00,Futebol,Masculino,semifinal,Arena Corinthians,Av. Miguel Ignácio Curi 111 - Vila Carmosina,São Paulo
